Reliability,Age
0.72,31.7
0.79,50.2
0.99,33.1
0.82,28.8
0.86,21.1
0.83,28.1
0.77,56.2
0.78,27.2
0.94,51.7
0.94,54.1
0.79,38.0
0.85,27.6
0.88,59.6
1.0,46.3
0.83,58.1
1.0,45.7
0.93,24.8
0.79,43.4
0.9,29.0
0.86,31.5
0.74,50.8
0.94,46.3
0.9,57.9
0.81,30.1
0.97,51.9
0.82,22.0
0.95,53.4
0.81,49.0
0.98,48.1
0.95,24.7
0.95,41.2
0.81,27.4
0.88,30.7
0.86,46.1
0.78,57.1
0.92,21.1
0.8,23.0
0.82,44.5
0.71,52.7
0.83,25.0
0.82,53.4
0.77,57.9
0.71,40.2
0.88,40.9
0.96,42.4
0.87,41.3
0.92,45.7
0.89,30.3
0.7,44.3
0.89,53.2
0.75,48.9
0.98,31.7
0.84,54.3
0.86,56.7
0.76,41.4
0.7,48.3
0.91,50.5
0.74,21.9
0.96,52.7
0.78,41.9
0.8,50.8
0.87,57.0
0.88,24.7
0.91,31.2
0.73,29.4
0.75,38.4
0.97,48.6
0.96,34.5
0.73,58.4
0.99,20.7
0.9,56.6
0.77,33.3
0.74,30.2
0.85,26.5
0.91,23.1
0.82,33.0
0.97,26.4
0.9,30.7
0.8,26.4
0.89,49.2
0.88,55.1
0.93,24.2
0.87,30.1
0.73,32.4
0.92,58.5
0.97,26.4
0.79,37.0
0.93,23.6
0.94,39.2
0.85,32.3
0.74,44.8
1.0,32.7
0.94,31.6
0.74,33.9
0.87,31.7
0.96,29.4
0.78,25.1
0.97,49.5
0.85,48.3
0.81,59.6
1.0,28.8
0.88,46.3
0.89,37.5
0.92,32.8
0.84,35.5
0.84,32.6
0.79,29.7
0.75,40.3
0.97,35.0
0.74,48.8
0.78,54.8
0.73,38.5
0.86,26.6
0.77,46.2
0.76,58.0
0.73,53.2
0.84,30.4
0.92,25.1
0.84,45.2
0.75,55.6
0.74,54.4
0.76,27.0
0.9,42.8
0.96,34.3
0.78,46.7
0.88,33.4
0.97,54.2
0.77,30.9
0.95,53.5
0.95,55.8
1.0,49.9
0.84,41.8
0.93,54.7
0.86,28.5
0.94,53.2
0.84,52.7
0.82,22.0
0.96,42.3
0.7,46.1
0.83,50.5
0.76,21.5
0.86,58.5
0.76,46.6
0.99,31.4
0.89,44.3
0.99,34.2
0.76,30.7
0.88,55.3
0.98,39.6
0.78,42.1
0.95,37.8
1.0,36.2
0.85,55.2
0.95,48.7
0.85,57.3
0.72,39.8
0.75,49.2
0.85,28.6
0.98,50.3
0.85,43.0
0.71,41.7
0.72,30.8
0.93,25.9
0.75,20.3
0.86,43.5
0.92,54.9
0.76,43.0
0.74,44.6
0.75,36.0
0.76,54.9
0.75,37.4
0.98,53.7
0.72,50.9
0.9,59.9
0.72,50.7
0.77,21.9
0.81,38.6
0.8,55.0
0.79,58.4
0.85,26.0
0.81,46.7
0.93,20.4
0.89,28.9
0.83,47.0
0.89,39.8
0.89,21.2
0.92,35.2
0.88,51.5
0.93,56.2
0.71,40.5
0.99,58.8
0.8,54.9
0.87,27.5
0.92,54.6
0.95,20.9
0.74,53.0
0.7,32.1
0.97,21.5
0.91,48.6
0.91,34.5
